Title,Author(s),Original language,First published,Sales(10^6),Genre
The Hite Report,Shere Hite,English,1976,50,Sexology
Charlotte's Web,E. B. White,English,1952,50,Science Fiction
The Ginger Man,J. P. Donleavy,English,1955,50,Novel
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45,Children's Lit
Jonathan Livingston Seagull,Richard Bach,English,1970,44,Self-Help
The Very Hungry Caterpillar,Eric Carle,English,1969,43,Children's Lit
A Message to Garcia,Elbert Hubbard,English,1899,40,Self-Help
To Kill a Mockingbird,Harper Lee,English,1960,40,Southern Gothic
Flowers in the Attic,V. C. Andrews,English,1979,40,Horror
Cosmos,Carl Sagan,English,1980,40,History
Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40,Young Adult
Angels & Demons,Dan Brown,English,2000,39,Mystery-Thriller
Kane and Abel,Jeffrey Archer,English,1979,37,Novel
How the Steel Was Tempered,Nikolai Ostrovsky,Russian,1932,36.4,Socialist Realist Novel
War and Peace,Leo Tolstoy,Russian,1869,36,Historical Fiction
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35,Fantasy
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35,Historical Fiction
Your Erroneous Zones,Wayne Dyer,English,1976,35,Self-Help
The Thorn Birds,Colleen McCullough,English,1977,33,Romance
The Purpose Driven Life,Rick Warren,English,2002,33,Christian Lit
The Kite Runner,Khaled Hosseini,English,2003,31.5,Historical Fiction
Valley of the Dolls,Jacqueline Susann,English,1966,31,Fiction
Alcoholics Anonymous Big Book,Bill Wilson,English,1939,30,Self-Help
How to Win Friends and Influence People,Dale Carnegie,English,1936,30,Self-Help
The Great Gatsby,F. Scott Fitzgerald,English,1925,30,Fiction
Gone with the Wind,Margaret Mitchell,English,1936,30,Historical Fiction
Rebecca,Daphne du Maurier,English,1938,30,Gothic Novel
Nineteen Eighty-Four,George Orwell,English,1949,30,Dystopian
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30,Fiction
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30,Fiction
The Lost Symbol,Dan Brown,English,2009,30,Fiction
The Hunger Games,Suzanne Collins,English,2008,29,Young Adult
James and the Giant Peach,Roald Dahl,English,1961,28,Children's Lit
The Young Guard,Alexander Alexandrovich Fadeyev,Russian,1945,26,Young Adult
Who Moved My Cheese?,Spencer Johnson,English,1998,29,Self-Help
A Brief History of Time,Stephen Hawking,English,1988,25,Science
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25,Novel
Lust for Life,Irving Stone,English,1934,25,Biography
The Wind in the Willows,Kenneth Grahame,English,1908,25,Children's Lit
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25,Self-Help
Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Russian,1935,24,Novel
The Celestine Prophecy,James Redfield,English,1993,23,Christian Lit
The Fault in Our Stars,John Green,English,2012,23,Young Adult
The Girl on the Train,Paula Hawkins,English,2015,23,Thriller
The Shack,William P. Young,English,2007,22.5,Novel
Uncle Styopa (Дядя Стёпа),Sergey Mikhalkov,Russian,1936,21,Children's Lit
The Godfather,Mario Puzo,English,1969,21,Crime
Love Story,Erich Segal,English,1970,21,Romance
Catching Fire,Suzanne Collins,English,2009,21,Young Adult
Mockingjay,Suzanne Collins,English,2010,20,Young Adult
Kitchen,Banana Yoshimoto,Japanese,1988,20,Japanese Novel
Andromeda Nebula,Ivan Yefremov,Russian,1957,20,Science Fiction
Autobiography of a Yogi,Paramahansa Yogananda,Hindi,1946,20,Biography
Gone Girl,Gillian Flynn,English,2012,20,Crime/Thriller
All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,20,Historical
The Bermuda Triangle,Charles Berlitz,English,1974,20,Fiction
Things Fall Apart ,Chinua Achebe,English,1958,20,Novel
Animal Farm ,George Orwell,English,1945,20,Historical Fiction
Wolf Totem,Jiang Rong,Chinese,2004,20,Autobiography
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20,Memoir
Jaws,Peter Benchley,English,1974,20,Thriller
Love You Forever,Robert Munsch,English,1986,20,Fiction
The Women's Room,Marilyn French,English,1977,20,Feminist Novel
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20,Self-Help
Adventures of Huckleberry Finn,Mark Twain,English,1885,20,Fiction
The Secret Diary of Adrian Mole,Sue Townsend,English,1982,20,Young Adult
Pride and Prejudice,Jane Austen,English,1813,20,Romance
Kon-Tiki: Across the Pacific in a Raft,Thor Heyerdahl,Norwegian,1950,20,Travel
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20,Dark Comedy
Where the Wild Things Are,Maurice Sendak,English,1963,20,Children's Lit
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20,Self-Help
The Secret,Rhonda Byrne,English,2006,20,Self-Help
Fear of Flying,Erica Jong,English,1973,20,Romantic
Dune,Frank Herbert,English,1965,20,Science Fiction
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20,Fantasy
The Naked Ape,Desmond Morris,English,1968,20,Social Science
Where the Crawdads Sing,Delia Owens,English,2018,18,Young Adult
The Little Girl at the Window,Tetsuko Kuroyanagi,Japanese,1981,18,Biography
Matilda,Roald Dahl,English,1988,17,Children's Lit
The Book Thief,Markus Zusak,English,2005,16,Young Adult
The Horse Whisperer,Nicholas Evans,English,1995,16,Fiction
Goodnight Moon,Margaret Wise Brown,English,1947,16,Children's Lit
The Neverending Story,Michael Ende,German,1979,16,Children's Lit
All the Light We Cannot See,Anthony Doerr,English,2014,15.3,Historical Fiction
Fifty Shades of Grey,E. L. James,English,2011,15.2,Erotica
The Outsiders,S. E. Hinton,English,1967,15,Fiction
Guess How Much I Love You,Sam McBratney,English,1994,15,Romance
Shōgun,James Clavell,English,1975,15,Fiction
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15,Fiction
The Pillars of the Earth,Ken Follett,English,1989,15,Historical Fiction
Perfume,Patrick Süskind,German,1985,15,Fiction
The Grapes of Wrath,John Steinbeck,English,1939,15,Fiction
The Shadow of the Wind,Carlos Ruiz Zafón,Spanish,2001,15,Fiction
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15,Fiction
Becoming,Michelle Obama,English,2018,14,Fiction
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14,Science Fiction
Tuesdays with Morrie,Mitch Albom,English,1997,14,Fiction
God's Little Acre,Erskine Caldwell,English,1933,14,Fiction
Follow Your Heart,Susanna Tamaro,Italian,1994,14,Fiction
A Wrinkle in Time,Madeleine L'Engle,English,1962,14,Fiction
Long Walk to Freedom,Nelson Mandela,English,1994,14,Fiction
The Old Man and the Sea,Ernest Hemingway,English,1952,13,Fiction
Life After Life,Raymond Moody,English,1975,13,Fiction
Peyton Place ,Grace Metalious,English,1956,12.1,Fiction
The Giver,Lois Lowry,English,1993,12,Historical Fiction
Me Before You,Jojo Moyes,English,2012,12,Fiction
Norwegian Wood,Haruki Murakami,Japanese,1987,12,Fiction
The Plague,Albert Camus,French,1947,12,Fiction
No Longer Human,Osamu Dazai,Japanese,1948,12,Fiction
Man's Search for Meaning ,Viktor Frankl,German,1946,12,Fiction
The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,11.5,Fiction
The Prophet,Kahlil Gibran,English,1923,11,Fiction
The Boy in the Striped Pyjamas,John Boyne,English,2006,11,Fiction
The Exorcist,William Peter Blatty,English,1971,11,Horror
The Gruffalo,Julia Donaldson,English,1999,10.5,Fiction
Fifty Shades Darker,E. L. James,English,2012,10.4,Erotica
Tobacco Road,Erskine Caldwell,English,1932,10,Fiction
"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10,Fiction
The Cat in the Hat,Dr. Seuss,English,1957,10.5,Fiction
Diana: Her True Story,Andrew Morton,English,1992,10,Fiction
The Help,Kathryn Stockett,English,2009,10,Self-Help
Catch-22,Joseph Heller,English,1961,10,Fiction
The Stranger,Albert Camus,French,1942,10,Fiction
Eye of the Needle,Ken Follett,English,1978,10,Fiction
The Lovely Bones,Alice Sebold,English,2002,10,Romance
Wild Swans,Jung Chang,English,1992,10,Fiction
Santa Evita,Tomás Eloy Martínez,Spanish,1995,10,Fiction
Night,Elie Wiesel,Yiddish,1958,10,Fiction
Confucius from the Heart,Yu Dan,Chinese,2006,10,Fiction
The Total Woman,Marabel Morgan,English,1974,10,Fiction
Knowledge-value Revolution,Taichi Sakaiya,Japanese,1985,10,Fiction
Problems in China's Socialist Economy,Xue Muqiao,Chinese,1979,10,Fiction
What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10,Fiction
The Dukan Diet,Pierre Dukan,French,2000,10,Fiction
The Joy of Sex,Alex Comfort,English,1972,10,Fiction
The Gospel According to Peanuts,Robert L. Short,English,1965,10,Fiction
The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10,Fiction
Life of Pi,Yann Martel,English,2001,10,Fiction
The Front Runner,Patricia Nell Warren,English,1974,10,Fiction
The Goal,Eliyahu M. Goldratt,English,1984,10,Fiction
Fahrenheit 451,Ray Bradbury,English,1953,10,Fiction
Angela's Ashes,Frank McCourt,English,1996,10,Fiction
The Story of My Experiments with Truth,Mohandas Karamchand Gandhi,Gujarati,1929,10,Fiction
Bridget Jones's Diary,Helen Fielding,English,1996,10,Fiction
